EQUIPOS PARA REVISION QUITO - GUAYAQUIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;CD;AREA;MODELO;SN;ENE;MANTE_ENE;FEB;MANTE_FEB;MARZO;MANTE_MAR;ABRIL;MANTE_ABRIL;MAYO;MANTE_MAY;JUN;MANTE_JUN;JUL;MANTE_JUL;AGOST;MANTE_AGOSTO;SEP;MANTE_SEP;OCT;MANTE_OCT;NOV;MANTE_NOV;DIC;MANTE_DIC;;
110;CD CALACALI;SECOS;WT41;19996523025538    ;16/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
111;CD CALACALI;SECOS;WT41;19007523021790    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
112;CD CALACALI;SECOS;WT41;18201523022869    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
113;CD CALACALI;SECOS;WT41;18202523020883    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
114;CD CALACALI;SECOS;WT41;18201523022381    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
115;CD CALACALI;SECOS;WT41;19006523025551    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;11/4/2024;Carcasa superior;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
;;;;19006523025551    ;;;;;;;11/4/2024;Tacil;;;;;10/7/2024;Mantenimiento preventivo;;;;;;;;;;;;
;;;;19006523025551    ;;;;;;;11/4/2024;Overlay;;;;;10/7/2024;Mantenimiento preventivo;;;;;;;;;;;;
116;CD CALACALI;SECOS;WT41;19002523020557    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
117;CD CALACALI;SECOS;WT41;19007523021904    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
118;CD CALACALI;SECOS;WT41;18201523024879    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
119;CD CALACALI;SECOS;RS;20008    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
120;CD CALACALI;SECOS;RS;25340    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;;;;;;;;;;;;;;;;
121;CD CALACALI;SECOS;RS;21731    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Canastilla rs;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
122;CD CALACALI;SECOS;RS;24015    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Canastilla rs;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
123;CD CALACALI;SECOS;RS;20019    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
124;CD CALACALI;SECOS;RS;21913    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
125;CD CALACALI;SECOS;RS;21921    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;;;;;;;;;;;;;;;;
126;CD CALACALI;SECOS;RS;20780    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Canastilla rs;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
127;CD CALACALI;SECOS;RS;25538    ;;;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
128;CD CALACALI;SECOS;RS;21790    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
129;CD CALACALI;SECOS;RS;22869    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
130;CD CALACALI;SECOS;RS;20883    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
131;CD CALACALI;SECOS;RS;22381    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Cable Assy;10/4/2024;Mantenimiento preventivo;8/5/2024;Canastilla rs;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
132;CD CALACALI;SECOS;RS;25551    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
133;CD CALACALI;SECOS;RS;20557    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;5/6/2024;Canastilla RS19;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
134;CD CALACALI;SECOS;RS;21904    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
135;CD CALACALI;SECOS;RS;24879    ;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;;;;;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
136;CD CALACALI;SECOS;ZT410;18J171401210;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Toggle bar;11/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimeinto preventivo;;;14/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
137;CD CALACALI;SECOS;ZT410;18J183604580;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;14/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimeinto preventivo;;;14/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
138;CD CALACALI;SECOS;ZT410;18J183506587;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;14/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimeinto preventivo;;;14/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
139;CD CALACALI;SECOS;ZD230d;D5N214702172;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;14/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimeinto preventivo;;;14/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
140;CD CALACALI;FRIOS;MC-9190;1421800506785    ;9/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento Preventivo;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;10/7/2024;Tactil;8/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;;;14/11/2024;Mantenimiento preventivo;21/12/2024;Mantenimiento preventivo;;
;;;;1421800506785    ;;;;;;;;;;;;;;;;;;;;;;;12/12/2024;Teclado con protector;;
141;CD CALACALI;FRIOS;MC92;1813500500872    ;16/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimiento preventivo;7/5/2024;Mantenimiento preventivo;11/6/2024;Teclado con protector;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;12/11/2024;Mantenimiento preventivo;10/12/2024;Mantenimeiento preventivo;;
142;CD CALACALI;FRIOS;MC92;1813500500888    ;9/1/2024;Mantenimiento preventivo;6/2/2024;Teclado con protector;12/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimiento preventivo;7/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;12/11/2024;Mantenimiento preventivo;10/12/2024;Mantenimeiento preventivo;;
143;CD CALACALI;SECOS;MC-9190;1328100505584    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Teclado con protector;10/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;;;14/11/2024;Teclado con protector;12/12/2024;Mantenimiento preventivo;;
;;;;1328100505584    ;;;;;13/3/2024;Boton gatillo;;;8/5/2024;Mantenimiento preventivo;;;;;;;;;;;;;;;;
144;CD CALACALI;SECOS;MC93;22192522509233    ;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;14/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimeinto preventivo;7/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;13/12/2024;Mantenimiento preventivo;;
145;CD CALACALI;FRIOS;ET50;BZ84900978;11/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;;;;;;;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;;;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
146;CD CALACALI;FRIOS;ET50;BZ84901141;11/1/2024;Mantenimiento preventivo;8/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimeinto preventivo;;;13/11/2024;Mantenimiento preventivo;13/12/2024;Mantenimiento preventivo;;
147;CD CALACALI;SECOS;ET50;BZ92400004;11/1/2024;Mantenimiento preventivo;8/2/2024;Mantenimiento preventivo;14/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
148;CD LOMAS DE SARGENTILLO;FRIOS;MC92;1505000505028    ;11/1/2024;Teclado con protector;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;;;3/10/2024;Mantenimiento preventivo;;;18/12/2024;Teclado con protector;;
149;CD LOMAS DE SARGENTILLO;SECOS;mc92;1833400500693    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Seguro de bateria;3/10/2024;Mantenimiento preventivo;14/11/2024;Teclado con protector;;;;
;;;;1833400500693    ;;;;;;;;;;;;;;;;;;;;;7/11/2024;Carcasa inferior;;;;
;;;;1833400500693    ;;;;;;;;;;;;;;;;;;;;;7/11/2024;Boton gatillo;;;;
150;CD LOMAS DE SARGENTILLO;SECOS;mc92;1632700500662    ;11/1/2024;Teclado con protector;21/2/2024;Mantenimiento preventivo;;;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;4/7/2024;Tactil;7/8/2024;Se pide la baja;;;;;7/11/2024;Dado de baja;;;;
;;;;1632700500662    ;9/1/2024;Mantenimiento preventivo;;;;;;;;;;;;;1/8/2024;Se retira a laboratorio;;;;;;;;;;
151;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505102    ;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;12/9/2024;Teclado con protector;;;;;;;;
152;CD LOMAS DE SARGENTILLO;SECOS;MC92;1811700500126    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;;;2/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;;;8/8/2024;Mantenimiento preventivo;;;17/10/2024;Mantenimiento preventivo;;;5/12/2024;Teclado con protector;;
153;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505106    ;31/1/2024;Ajuste de display;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;;;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;;;5/12/2024;Teclado con protector;;
154;CD LOMAS DE SARGENTILLO;SECOS;MC92;163270050060    ;9/1/2024;Mantenimiento preventivo;;;;;;;;;;;;;;;;;;;;;;;;
155;CD LOMAS DE SARGENTILLO;SECOS;ET50;BK54200687;31/1/2024;Mantenimiento preventivo;21/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;;;2/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;;;7/11/2024;Dado de baja;;;;
156;CD LOMAS DE SARGENTILLO;SECOS;ET50;BZ84900890;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;;;;;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;;;14/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
157;CD LOMAS DE SARGENTILLO;FRIOS;MC-9190;1404300500550    ;31/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;7/5/2024;Seguro de bateria;11/6/2024;Mantenimiento preventivo;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;12/11/2024;Mantenimiento preventivo;10/12/2024;Tactil;;
158;CD LOMAS DE SARGENTILLO;FRIOS;WT41;18280523020109    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;1/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
159;CD LOMAS DE SARGENTILLO;FRIOS;WT41;19003523020226    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;1/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
160;CD LOMAS DE SARGENTILLO;FRIOS;WT41;18131523023086    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;1/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
161;CD LOMAS DE SARGENTILLO;FRIOS;WT41;18202523020753    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;1/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
162;CD LOMAS DE SARGENTILLO;FRIOS;WT41;18117523021010    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;1/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
163;CD LOMAS DE SARGENTILLO;FRIOS;WT41;18200523024049    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;1/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
164;CD LOMAS DE SARGENTILLO;FRIOS;WT41;19002523021777    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;;;1/5/2024;Mantenimiento preventivo;5/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
165;CD LOMAS DE SARGENTILLO;FRIOS;RS;20109    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;;;;;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
166;CD LOMAS DE SARGENTILLO;FRIOS;RS;20226    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;;;;;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
167;CD LOMAS DE SARGENTILLO;FRIOS;RS;23086    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;;;;;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
168;CD LOMAS DE SARGENTILLO;FRIOS;RS;20753    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;;;;;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
169;CD LOMAS DE SARGENTILLO;FRIOS;RS;21010    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;;;;;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;;;
170;CD LOMAS DE SARGENTILLO;FRIOS;RS;24049    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;;;;;8/5/2024;Mantenimiento preventivo;;;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;4/9/2024;Mantenimiento preventivo;2/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimiento preventivo;;
